date_old;day_of_week;date_new;longitude;latitude;weather;wind;entry
4.Decr.1805;Wednesday;12.00 3 12.1805 - 23.59 3 12.1805;;;;;"At 7 A.M. left Philadelphia in the stage for Baltimore. 15 Miles S.W. of Philadelphia in Chester, the Capital of Delaware County. It is pleasantly situated on the W. side of Delaware river near Marcus Hook. The stage arrived here about 9½ and we stopped to Breakfast. 13 Miles S.W. of Chester stands the Town of Wilmington[,] the most considerable of the state of Delaware. It contains // f. 12 upwards of 600 Houses and 3,000 Inhabitants. About a mile to the North of this Town are the famous Mills, 13 in number, called after the Creek on which they are situated the Brandywine Mills. It is said 300,000 Bushels of Wheat and Corn are annually ground here. 21 Miles S.W. of Wilmington is Elkton at the head of Chesapeak[e] Bay in Maryland[,] it consists of one street and contains about 90 Houses. The stage arrived here at about 2 O[’]clock, and the Passengers dined in this Town. 16 Miles S.W. of Elkton is Havre de Grace at which town we arrived about 8 O[’]clock in the Evening. It is situated on the W. side of Susquehanna River. The stage as is customary remained on the East side of the river, and the Passengers with their Effects crossed the River in a small Boat to Havre de Grace. We slept in this Town, and for supper partook of the Canvas back Ducks which feed on the banks of the River"
;;00.00 4 12.1805 - 12.00 4 12.1805;;;;;"At 7 A.M. left Havre de Grace and arrived about 9 at Harford or Bush, the distance being 12 Miles S.W. The stage stops here for us to Breakfast."
5.Decr: 1805;Thursday;12.00 4 12.1805 - 23.59 4 12.1805;;;;;"25 Miles S.W. of Bush is the Town of Baltimore[,] the largest in the state of Maryland. It is built around what is called the Bason, reckoned one of the finest Harbours in America. This City has increased within these few years with amazing rapidity both in Wealth and Population, and now ranks with the first Towns in the United States. The stage arrived here about 3 O[’]clock, and I dined and passed the Night in this City."
;;00.00 05.12.1805 - 12.00 05.12.1805;;;;;"At 10 A.M. left Baltimore for Washington and arrived at Elkridge about 12 O[’]clock the distance being 8 Miles"
6.Decr.1805;Friday;12.00 05.12.1805 - 23.59 05.12.1805;;;;;"The stage was here crossed in a Ferry Boat over the Patapsco River. This place is only remarkable for a particular quality of Tobacco called Kite’s foot. Two or three Miles beyond this place the stage stopt [sic!] at a Mr. Spurrier’s w[h]ere we dined. 30 Miles S.W. of Elkridge in Bladensburgh [Bladensburg] on the Eastern Branch of Patowmac [Potomac] River. it contains about 160 Houses and a Warehouse for the inspection of Tobacco. 6 Miles S.W. of Bladenburgh is the City of Washington, at which place we arrived about 7½ O[’]clock in the Evening, and took Apartments at Stelle’s Hotel on the Capitol Hill. This City which is also called // f. 13 the Federal City"
;;00.00 06.12.1805 -12.00 06.12.1805;;;;;"During this time we experienced the most delightful and agreeable weather"
7.Decr: to 17.Decr: 1805;Saturday to Tuesday;12.00 06.12.1805 - 00.00 17.12.1805;;;During this time we experienced the most delightful and agreeable weather;;""
18.Decr: 1805;Wednesday;12.00 17.12.1805 - 23.59 17.12.1805;;;;;" and arrived safe at Baltimore the same day at 7½ P.M., although we only had one Pair of Hack Horses the whole way."
;;00.00 18.12.1805 - 12.00 18.12.1805;;;;;"At 9 A.M. left Baltimore by the Mail stage for Philadelphia and arrived there the following Morning at 8 O[’]clock."
19.: Decr.1805;Thursday;12.00 18.12.1805 - 23.59 18.12.1805;;;;;""
;;00.00 19.12.1805 - 12.00 19.12.1805;;;;;"These two days we remained in Philadelphia."
20.Decr.to 21st Decr: 1805;Friday to Saturday;12.00 19.12.1805 - 12.00 21 12.1805;;;;;""
22d Decr.1805;Sunday;12.00 21 12.1805 - 23.59 21 12.1805;;;;;"At 11 A.M. left Philadelphia & Mail for New York, and arrived the following Morning at 7 A.M."
;;00.00 22 12.1805 - 12.00 22 12.1805;;;;;""
23d Decr.1805 to 29.Jany.1806;Monday to Tuesday;12.00 22 12.1805 - 12.00 29.01.1806;;;;;"Resident at New York, employed amusing myself to the greatest advantage, either in Public Places or Private Parties. "
30.Jany.to Feby.2nd  1806;Wednesday to Sunday;12.00 29.01.1806 - 12.00 2 02.1806;;;;;"Resident at Vanduzer’s Hotel[,] Staten Island, waiting a fair Wind to take our departure. "
2 Feby.1806;Sunday;12.00 1 02.1806 - 23.59 1 02.1806;;;;fine Breeze from N.W.;"At 8½ A.M. embarked on board the Ship Leander, from Vanduzer[’]s Inns[,] Staten Island, in Company with Mr: Ogden[,] Proprietor of the said Vessel and several Gentlemen Passengers. At 10½ being off Sandy Hook the Pilot, together with Mr. Saml. Ogden left the Ship, and we made all possible sail for the previous [sic! next!] place of our destination, [Jacmel in the Island of St. Domingo] "
;;00.00 2 02.1806 - 12.00 2 02.1806;;;This day began with strong Breezes and Cloudy Weather;;""
3 Feby.1806;Monday;12.00 2 02.1806 - 23.59 2 02.1806;;No observations.;towards the latter Part Hard Gales from the S.E. which occasioned us to shorter sai;Hard Gales from the S.E.;"Throughout the day they were employed on board, in procuring and arranging Births for the Crew and Passengers"
;;00.00 03.02.1806 - 12.00 03.02.1806;;;;;""
4 Feby.1806;Tuesday;12.00 03.02.1806 - 23.59 03.02.1806;;;The Gales of the proceeding [sic! preceding] day still continued,;Winds very Variable.;"The Gales of the proceeding [sic! preceding] day still continued, and caused the ship to labour much to the great inconvenience of the Landsmen who were consequently very much affected by the sickness. "
;;00.00 04.02.1806 - 12.00 04.02.1806;;;;;""
5.Feby.1806;Wednesday;12.00 04.02.1806 - 23.59 04.02.1806;;37.5;This day began with fine clear weather;steady Breezes from N.N.W.;"nothing particular occurred during these 24 Hours."
;;00.00 05.02.1806 - 12.00 05.02.1806;;;The commencement of these 24 Hours fine Moderate Breezes and clear Weather;;""
6.Feby.1806;Thursday;12.00 05.02.1806 - 23.59 05.02.1806;;35.3;towards Noon it became squally with strong Breezes and heavy Sea.;Winds West, and Variable.;""
;;00.00 06.02.1806 - 12.00 06.02.1806;;;;;""
7t.Feby/ 1806;Friday;12.00 06.02.1806 - 23.59 06.02.1806;;32.47;Light Breezes and clear Weather.;Winds from the Westward.;"Late. 32°.47’[.]"
;;00.00 07.02.1806 - 12.00 07.02.1806;;;This day light Winds and clear Weather inclining to Calm.;;"At 6 A.M. sacked to the S.E. and at 9 made the West part of the Island of Bermuda."
8.Feby.1806;Saturday;12.00 07.02.1806 - 23.59 07.02.1806;;32.23;;;"  Daniel[’] Island bore S.E.½ E[.] distance about 5 Leagues: sacked the ship immediately and stood to the Westward Wind S. by W. [Latitude]  32°.23’ [Daniel’s Island] - примечание в координатах"
;;00.00 08.02.1806 - 12.00 08.02.1806;;;Strong Breezes and clear Weather;Winds from S.W[.] by S[.] to S.S.W.;""
9 Feb.1806;Sunday;12.00 08.02.1806 - 23.59 08.02.1806;;No observation;towards Noon it became more Moderate, then with Moderate Breezes and cloudy, accompanied with light Rains, and a high sea. ;Wind shifted to the Nd. and Westward;""
;;00.00 09.02.1806 - 12.00 09.02.1806;;;;;""
10 Feb.1806;Monday;12.00 09.02.1806 - 23.59 09.02.1806;;29.57;Fresh Breezes and clear Weather during the whole of this day, without any occurrence mostly of Notice.;Winds N.W.;""
;;00.00 10.02.1806 - 12.00 10.02.1806;;;;;""
11 Feb.1806;Tuesday;12.00 10.02.1806 - 23.59 10.02.1806;;No observation;This day began with fresh Breezes and Cloudy Weather and continued throughout the day.;Winds from N.E. to E[.]½S.;""
;;00.00 11.02.1806 - 12.00 11.02.1806;;;;;"At 8 A.M. saw a Vessel to Leeward standing to the Northward, distance about 4 Leagues. At 11 [Latitude?] she hove about and stood for us, from which we immediately concluded she was a Cruizer [sic!]. Captn. Lewis shortened sail, beat to Arms, and made every necessary preparation for action.  (координаты - 24°.50’ [at 11?])"
12 Feb.1806;Wednesday;12.00 11.02.1806 - 23.59 11.02.1806;;24.50;These 24 Hours fresh Breezes and Pleasant Weather.;Wind East.;""
;;00.00 12.02.1806 - 12.00 12.02.1806;;;;;""
13 Feb.1806;Thursday;12.00 12.02.1806 - 23.59 12.02.1806;;24.0;Steady Breezes and fine agreeable Weather[.];Wind nearly East.;" At 2 P.M. [Latitude?] we were hailed by H.B.M. Frigate Cleopatra[,] Captn. J. Wight who sent on board his first Lieutenant in the Jolly Boat, and took in return Captn. Lewis on board the Frigate. Lieutenant Bowen was occupied in examining the Vessel and Crew, and impressed 12 Men which who proved to be British born Subjects. At 4 P.M. Colonel Armstrong went on board the Frigate, for the purpose of inducing Capt. Wight to permit us to proceed: not finding this practicable he was induced to make some Overtures relative to the purport of our Expedition, and wrote a Note to this effect to General Miranda requesting him Portfolio of Papers. At 7 P.M. General Miranda went on board the Frigate, without his Papers they being stored away in the steerage Hold, and no possibility of procuring them.  At 9 Captn. Lewis returned on board.  комментарий к координатам - 24°._ [at 2 P.M.?]"
;;00.00 13.02.1806 - 12.00 13.02.1806;;;;;"At 7 A.M. Colonel Armstrong came from the Frigate and I delivered him the General[’]s Portfolio. At 10 Captn. Lewis received from on board the Cleopatra 12 American Seaman [sic!] in exchange for those sent from our Vessel: and the Prize Master who from the commencement was left with us, went on board his own Brig ship. At 11 General Miranda to our great joy and satisfaction, returned among us"
14 Feb.1806;Friday;12.00 13.02.1806 - 23.59 13.02.1806;;21.27;;;"Continuance of the same fair Wind and fine Tropical Weather accompanied with a few showers of rain. At Midnight we passed a Sail but could not discover what she was, not which way she was bound. комментарий к координатам - 21°.27’. [at midnight?]"
;;00.00 14.02.1806 - 12.00 14.02.1806;;;;;""
15 Feb.1806;Saturday;12.00 14.02.1806  - 23.59 14.02.1806;;19.19;;;"Fine pleasant Weather with the continuance of Easterly Winds. At 12, Noon[,] we perceived two Vessels /Schooners/ bound to the Northward. At 5 P.M. we discovered Land on our Starboard Bow, distance about 10 Leagues, which we conjectured to be Cape Enganno [Engaño] in the Island of St. Domingo. комментарий к координатам - 19°.19’. [at noon?]"
;;00.00 15.02.1806 - 12.00 15.02.1806;;;;;"At 8 A.M. we discovered a Sail which we presumed was a Privateer and prepared for action: still continuing our course. At 9½ came up with the Sail, and after firing several shots at her, she bore down to us"
16 Feb.1806;Sunday;12.00 15.02.1806 - 23.5915.02.1806;;17.50;Fine Breezes, and Weather as the preceding day.;;" At 4 P.M. we again saw the Land on our Starboard Quarter at some distance, and too far to be able to distinguish what Part of St. Domingo it was: we therefore lay to all Night, fearful of over running our Port. комментарий к координатам - 17°.50’. [at 8 A.M?]"""
;;00.00 16.02.1806 - 12.00 16.02.1806;;;;;"At 10 A.M. we discovered the Island of Beata and the Rock to the Southward of it, called Altavela."
17 Feb.1806;Monday;12.00 16.02.1806 - 23.59 16.02.1806;;17.17;Continuance of the same Winds and Weather;;" At 2½ P.M. we passed through the Channel formed by the Rock and the Island, and perceived on our Starboard Bow the cluster of White Rocks called the Frayles or Friars. We again lay to, the whole of this night.  комментарий к координатам - 17°.17’. [at 10 A.M?]"
;;00.00 17.02.1806 - 12.00 17.02.1806;;;;;""
18 Feb.1806;Tuesday;12.00 17.02.1806 - 23.59 17.02.1806;;No observation;Fair Weather and light Winds approaching to calm;;"At Noon the entrance to Jacmel appeared open to View"
;;00.00 18.02.1806 - 12.00 18.02.1806;;;;;""
19 Feb.1806;Wednesday;12.00 18.02.1806 - 23.59 18.02.1806;;No observation;This day light Winds and fair Weather;;"This day light Winds and fair Weather making the best of our way for Jacmel. At Noon being at the Harbour’s mouth, we were met by the Harbour Master and his Deputy, and soon after came to Anchor: Mr: Sullivan went on shore after dinner, and brought us on board some fruit which we devoured, and as might be expected we found delicious."
;;00.00 19.02.1806 - 12.00 19.02.1806;;;;;""
20 Feb.1806;Thursday;12.00 19.02.1806 - 23.59 19.02.1806;;No observation;Fine pleasant Weather.;;" The whole of this day they were occupied in unstowing the Hold in order to procure several Articles that were wanted, and particularly the Printing Press."
;;00.00 20.02.1806 - 12.00 20.02.1806;;;;;""
21 Feb.1806;Friday;12.00 20.02.1806 - 23.59 20.02.1806;;No observation;Fine agreeable Weather.;;"  The Printing Press having been procured"
;;00.00 21 02.1806 - 12.00 21 02.1806;;;;;""
22 Feb.1806;Saturday;12.00 21 02.1806 - 23.59 21 02.1806;;No observation;Fine agreeable and pleasant Weather.;;" The Printers still occupied in Printing Business"
;;00.00 22 02.1806 - 12.00 22 02.1806;;;;;""
23 Feb.1806;Sunday;12.00 22 02.1806 - 23.59 22 02.1806;;No observation;This day equally fine Weather;;"This day equally fine Weather, and employed nearly in the same manner as that preceeding it."
;;00.00 23 02.1806 - 12.00 23 02.1806;;;;;""
24 Feb.1806;Monday;12.00 23 02.1806 - 23.59 23 02.1806;;No observation;Fine agreeable Weather.;;"Having for the Present done with the Printing Press it was taken down: And Captn. Heckle was employed fixing and arranging the Pikes. Two Seamen absconded from the watering Party."
;;00.00 24.02.1806 - 12.00 24.02.1806;;;;;""
25 Feb.1806;Tuesday;12.00 24.02.1806 - 23.59 24.02.1806;;No observation;Weather as usual, but towards the Evening attended with rain.;;"  Captn. Gardner went on shore for the recovery of his Health, having been for several days indisposed. Captn. Blakely – who at present commands the ship[,] employed occasionally in repairs, and procuring Water. Mr: Sullivan[,] the second Officer[,] went daily on shore for the purpose of obtaining sundry Douceurs for our comfort"
;;00.00 25.02.1806 - 12.00 25.02.1806;;;;;""
26 Feb.1806;Wednesday;12.00 25.02.1806 - 23.59 25.02.1806;;No observation;These 24 Hours light Winds and pleasant Weather.;;" Employed fixing Pikes and sundry other things preparatory to our Expedition."
;;00.00 26.02.1806 - 12.00 26.02.1806;;;;;""
27 Feb.1806;Thursday;12.00 26.02.1806 - 23.59 26.02.1806;;No observation;This day was as usual fair, but towards Night we experienced much rain.;;" Officers & Men employed in the Manual Exercise, to enable them to act with precision and in unison, when landed. Lieut. Newton was sent on shore to recruit his Health.  One of the Seamen who had absconded from the watering Party on Monday, returned on board this Evening and notwithstanding his professions of contrition and innocence, was confined in Irons, but released the following Morning. he professed he knew nothing of his Companion."
;;00.00 27.02.1806 - 12.00 27.02.1806;;;;;""
28 Feb.1806;Friday;12.00 27.02.1806 - 23.59 27.02.1806;;No observation;Weather much the same as the preceding day.;;"Drilling Officers and Men as yesterday: And occupied about sundry other Objects sending to promote and ensure the success of our Enterprise. Our anxiety on not hearing from Mr: J. S. Smith become very great, and in consequence thereof, and the Military Movements we perceiv’d on shore"
;;00.00 28.02.1806 - 12.00 28.02.1806;;;;;""
1 March 1806;Saturday;12.00 28.02.1806 - 23.59 28.02.1806;;No observation;Particularly fine and pleasant weather.;;" At Noon Captn: Blakely received a Letter by the Harbour Master from the Black General Commanding at Jacmel, of which the following is Copy, together with his reply thereto[.]  N.B. Not having been able to procure from Captn: Blakely the Copies of the above Letters, I merely give the purport of them,  General Magloire Ambroise wrote to Captain Blakely during an interview with him on shore, on affairs of // importance.  Captain B. gave a very civil answer informing him that Captn. Lewis[,] his Commanding Officer, had on his departure for Port au Prince given him strict charge not to leave the ship on any account whatever: but that he was ready to give the General an Answer to any Communication he might take to him in writing,  [место пропущено]  unacquainted with the purport of the above request, it was deemed necessary for Messrs. Gardner & Newton to return on board: and every precaution was taken to guard against the worst.  At 7 P.M. M. General Miranda received a Letter from Captn. Lewis dated 28 Feby. from Port au Prince, stating that every thing was, as he could wish – that his brother Jacob Lewis would join here with his ship as soon as possible"
;;00.00 1 03.1806 - 12.00 1 03.1806;;;;;""
2 March 1806;Sunday;12.00 1 03.1806 - 23.59 1 03.1806;;No observation;Fine[,] pleasant and agreeable Weather.;;" Occupied get[t]ing the ship Painted outside, and ready for sea.  An altercation took place between the General and Blakely and Morrison, the latter having appropriated to themselves an unequal and unjust proportion of the fresh Provisions, and justifying the Conduct of their servants"
;;00.00 2 03.1806 - 12.00 2 03.1806;;;;;"At 6 A.M. discovered a sail off the Harbour Mouth but could not discern that she was."
3 March 1806;Monday;12.00 2 03.1806 - 23.59 2 03.1806;;No observation;Continuance of the same agreeable Weather.;;" Occupied painting and sundry other Objects.   At 3½ P.M. Captn. Lewis and Mr : Jona. S. Smith arrived from Port au Prince[,] Bearers of agreeable feelings respecting the object of their Mission."
;;00.00 3 03.1806 - 12.00 3 03.1806;;;;;""
4 March 1806;Tuesday;12.00 3 03.1806 - 23.59 3 03.1806;;No observation;Fine weather as usual.;;"  This day permission was given to the Officers to go on shore /one half alternatively,/ so long as we should stay in the Harbour. This was cheerfully accepted, and several went on shore accordingly.  The General having perceived an Error in the Proclamation I was occupied this and several succeeding days in correcting it."
;;00.00 04.03.1806 - 12.00 04.03.1806;;;;;""
5 March 1806;Wednesday;12.00 04.03.1806 - 23.59 04.03.1806;;No observation;Fine pleasant Weather.;;"  This day the General went to Jacmel accompanied by his Wm: Smith[,] his Aid de Camp"
;;00.00 05.03.1806 - 12.00 05.03.1806;;;;;""
6 March 1806;Thursday;12.00 05.03.1806 - 23.59 05.03.1806;;No observation;Agreeable and pleasant Weather.;;"  In the afternoon I went on shore to the westward of the Town with Colonel Armstrong for the purpose of Bathing"
;;00.00 06.03.1806 - 12.00 06.03.1806;;;;;""
7 March 1806;Friday;12.00 06.03.1806 - 23.59 06.03.1806;;No observation;Continuance of the same fine Weather.;;"  In the afternoon the General accompanied by Wm: Smith and myself, went on shore to Bathe and returned on board immediately afterwards. "
;;00.00 07.03.1806 - 12.00 07.03.1806;;;;;" Two Seamen deserted in the night from the ship without being perceived."
8 March 1806;Saturday;12.00 07.03.1806 - 23.59 07.03.1806;;No observation;Pleasant agreeable Weather.;;" This day I went on shore at Jacmel for the purpose of visiting an old acquaintance from Port au Prince Mr. James Booth, who having constantly resided in that City, was an eye Witness to the barbarous and ferocious Murders committed by that brutal Monster Dessalines, alias the Emperor of Hayti.  I returned on board to dinner, and again walked on shore in the Evening. The City of Jacmel has at present nothing remarkable of itself, the buildings are generally poor and mean"
;;00.00 08.03.1806 - 12.00 08.03.1806;;;;;""
9 March 1806;Sunday;12.00 08.03.1806 - 23.59 08.03.1806;;No observation;Fine weather as usual.;;"  Nothing remarkable occurred this day."
;;00.00 09.03.1806 - 12.00 09.03.1806;;;;;""
10 March 1806;Monday;12.00 09.03.1806 - 23.59 09.03.1806;;No observation;Pleasant agreeable weather.;;"  This day in consequence of information received from Captn. T. Lewis the permission granted to go on shore was suspended until further Orders."
;;00.00 10.03.1806 - 12.00 10.03.1806;;;;;""
11 March 1806;Tuesday;12.00 10.03.1806 - 23.59 10.03.1806;;No observation;Fine agreeable weather.;;"  This Evening the General received a Letter from Captn. Jacob Lewis from Port au Prince, the contents of which induced him to send Mr. Jona. S. Smith to that City"
;;00.00 11.03.1806 - 12.00 11.03.1806;;;;;""
12 March 1806;Wednesday;12.00 11.03.1806 - 23.59 11.03.1806;;No observation;Continuation of the same agreeable Weather.;;"Employed on board as usual about sundries necessary to our Expedition such as filling Cartridges, making Colours, fixing Pikes &ca. &ca."
;;00.0012.03.1806 - 12.00 12.03.1806;;;;;""
13 March 1806;Thursday;12.00 12.03.1806 - 23.59 12.03.1806;;No observation;Fine pleasant Weather.;;" Employed about sundries. "
;;00.00 13.03.1806 - 12.00 13.03.1806;;;;;"At 9 A.M. we discovered a Schooner off the Harbour’s Mouth, standing of and on, which from every appearance was a Privateer."
14 March 1806;Friday;12.00 13.03.1806 - 23.59 13.03.1806;;No observation;Pleasant and agreeable Weather.;;" Employed about sundries and making  every preparation for going to Sea. At 3 P.M. Mr: Jona. S. Smith arrived from Port au Prince."
;;00.00 14.03.1806 - 12.00 14.03.1806;;;;;""
15 March 1806;Saturday;12.00 14.03.1806 - 23.59 14.03.1806;;No observation;This day fine agreeable Weather;;""
;;00.00 15.03.1806 - 12.00 15.03.1806;;;;;""
16 March 1806;Sunday;12.00 15.03.1806 - 23.59 15.03.1806;;No observation;Fine agreeable Weather.;;" At 6½ УТРА ИЛИ ВЕЧЕРА? we perceived the Schooner Privateer dogging off the Harbour’s Mouth, with American Colours flying. At 7 sent on board the Schooner Edith & Nancy, which had arrived during the preceding Night and was informed that she had been chased by the Privateer. At 7½ we observed a Ship in the offing and from her passing near the Privateer without being molested we concluded they might be Consorts: and the former running for the Harbour, after having previously fired a Gun, induced a belief that she might be an Enemy intending an attack upon us"
;;00.00 16.03.1806 - 12.00 16.03.1806;;;;;""
17 March 1806;Monday;12.00 16.03.1806 - 23.59 16.03.1806;;No observation;Fine pleasant Weather.;;" At 2 P.M, Captn: Gardner incautiously snapping Dr: Scofield[’]s Pistols, which he did not know were loaded, one of them went of and shot Dr: Scofield"
;;00.00 17.03.1806 - 12.00 17.03.1806;;;;;""
18 March 1806;Tuesday;12.00 17.03.1806 - 23.59 17.03.1806;;No observation;Fine Weather as usual.;;""
 ;;;;;;;""
;;00.00 18.03.1806 - 12.00 18.03.1806;;;;;"At 9 A.M. the Pilot Boat schooner  Swift[,] Captn. [space left] from Baltimore in 14 days, came to an Anchor. No news [нрзб] later than that already received."
19 March 1806;Wednesday;12.00 18.03.1806 - 23.59 18.03.1806;;No observation;Fine pleasant Weather.;;" No remarkable occurrences this day.  "
;;00.00 19.03.1806 - 12.00 19.03.1806;;;;;"At 11 A.M. the schooner Hetty of Havre de Grace[,] Captn [space left] in 16 days from Baltimore, nothing new."
20 March 1806;Thursday;12.00 19.03.1806 - 23.59 19.03.1806;;No observation;The early part of this day fine agreeable Weather, the latter part much rain.;;"A Letter was this day received from Port au Prince, announcing that the Ship Emperor[,] Captn Jacob Lewis[,] was off Leogane on Tuesday last, on his way to join us."
;;00.00 20.03.1806 - 12.00 20.03.1806;;;The early part of this day fine agreeable Weather, the latter part much rain.;;""
21 March 1806;Friday;12.00 20.03.1806 - 23.59 20.03.1806;;No observation;This day fine weather, with rain during the early part of it.;;" At Noon  the Schooner Supply[,] Captn Haylor in 12 days from Baltimore came to an anchor: no News."
;;00.00 21 03.1806 - 12.00 21 03.1806;;;;;""
22 March 1806;Saturday;12.00 21 03.1806 - 23.59 21 03.1806;;No observation;This day fair and raining occasionally, owing without doubt to the Sun’s passing the Equinox.;;" Nothing new."
;;00.00 22.03.1806 - 12.00 22.03.1806;;;;;""
23 March 1806;Sunday;12.00 22.03.1806 - 23.59 22.03.1806;;No observation;Fine pleasant and agreeable weather.;;" At 2 P.M. Captn Lewis left the ship for Port au Prince with an Express.  "
;;00.00 23.03.1806 - 12.00 23.03.1806;;;;;" At 11 A.M. the General wrote Captn. Lewis pressing his return, in order to avoid any further delay, since the ship Emperor would not join us."
24 March 1806;Monday;12.00 23.03.1806 - 23.59 23.03.1806;;No observation;Fine pleasant and agreeable weather.;;" At 11 P.M. the Brigs Charleston Packet[,] Captn. Abbot, and Robert and Mary[,] Captn. Israel, together with the Schooner Victory[,] Captn. Waldron all of Philadelphia, left this Port for the place of their destination. Having some reason to suspect they had on board one or two of our People, our boats were manned and sent after them, but returned without having been able to find them"
;;00.00 24.03.1806 - 12.00 24.03.1806;;;;;"At 10 A.M. the General thought proper to have the Officers[’] Commissions delivered out to them, and after being collected together and signing an agreement to abide by the Articles of War of the United States, and serve and obey the Officers set over them, by the Supreme Executive authority of the People of South America, /legally appointed free and Independent of the Spanish Government/ they were issued out to them accordingly."
25 March 1806;Tuesday;12.00 24.03.1806 - 23.59 24.03.1806;;No observation;Fine agreeable weather.;;""
 ;;Employed exercising and drilling the Men.  ;;;;;""
;;00.00 25.03.1806 - 12.00 25.03.1806;;;;;"At 5 A.M. the Danish schooner Gypsey[,] Capt. [space left,] sailed from this Port. This Vessel with those mentioned yesterday were all the Vessels in this harbour on our arrival."
26 March 1806;Wednesday;12.00 25.03.1806 - 23.59 25.03.1806;;No observation;Fine pleasant weather, the latter part rain.;;" At 4 P.M. Captn. Thomas Lewis arrived from Port au Prince accompanied by his brother Captn. Jacob Lewis: the latter came immediately on board the Leander and had an interview with the General."
;;00.00 26.03.1806 - 12.00 26.03.1806;;;Fine pleasant weather, the latter part rain.;;""
27 March 1806;Thursday;12.00 26.03.1806 - 23.59 26.03.1806;;No observation;Fine agreeable weather.;;""
 ;;;;;;;""
;;00.00 27.03.1806 - 12.00 27.03.1806;;;;;"At 7 A.M. got under weigh accompanied by our two Tenders the schooners Bee and Bacchus, and were soon after joined by 7 American Gentlemen from the shore, who received their Commissions as Officers in the Expedition."
28 March 1806;Friday;12.00 27.03.1806 - 23.59 27.03.1806;;17°.84’.;This day began with light airs inclining to calm, latter part pleasant Breezes.;;""
 Jacmel but shortly afterwards got a Breeze that us a good offing.; Winds Variable. ;  Some of our Officers of the Rifle Corps were removed on board the Bacchus.;;;;;""
;;00.00 28.03.1806 - 12.00 28.03.1806;;;;;""
29 March 1806;Saturday;12.00 28.03.1806 - 23.59 28.03.1806;;16°.46’. [at 1 P.M.?];This day pleasant Breezes and fair Weather.; Winds from S.S.E. to E.N.E.;"  At 1 P.M. saw a sail to leeward standing to the Northward and Westward. [Latitude?]"
;;00.00 29.03.1806 - 12.00 29.03.1806;;;;;""
30 March 1806;Sunday;12.00 29.03.1806 - 23.59 29.03.1806;;15°.48’.;Fine Breezes and pleasant Weather.;Winds from N.E[.] by E. to N.E.;" At half an hour past noon the Schooner Bee ran foul of us, stove in the Boat hanging over the stern, and did us some other damage. The Bee very fortunately got clear with the loss of her jib boom. At 8 P.M. a schooner passed us to windward standing to the N. & W. "
;;00.00 30.03.1806 - 12.00 30.03.1806;;;;;""
31 March 1806;Monday;12.00 30.03.1806 - 23.59 30.03.1806;;15°.16’;Fine Breezes and agreeable weather.; Winds from E.N.E. to East.;" Nothing remarkable"
;;00.00 31 03.1806 - 12.00 31 03.1806;;;;;""
1 April 1806;Tuesday;12.00 31 03.1806 - 23.59 31 03.1806;;16°.4’. [at 8 A.M.?];Fine Breezes and agreeable weather.;Wind E.N.E.;"  "
;;00.00 1 04.1806 - 12.00 1 04.1806;;;;;"At 8 A.M. Captn: Gardner from the schooner Bacchus came on board for sundry articles of Provisions, with which he was supplied, and returned to the schooner at 11 A.M. This visit of Captn: Gardner’s had like[d] to have proved very serious"
2 April 1806;Wednesday;12.00 1 04.1806 - 23.59 1 04.1806;;15°.2’;Pleasant Breezes and fine weather.; Winds from N.E[.] by E. to E[.] by N.;" Nothing remarkable these 24 Hours."
;;00.00 02.04.1806 - 12.00 02.04.1806;;;;;""
3 April 1806;Thursday;12.00 02.04.1806 - 23.59 02.04.1806;;14°.1’;Light Breezes and pleasant weather. ;Winds from E[.] by S. to E.N.E.;" Nothing new."
;;00.00 03.04.1806 - 12.00 03.04.1806;;;;;""
4 April 1806;Friday;12.00 03.04.1806 - 23.59 03.04.1806;;13°.26’;Light Breezes and pleasant agreeable weather.;Wind E[.] by N.;"  No remarks worthy of note."
;;00.00 04.04.1806 - 12.00 04.04.1806;;;;;""
5 April 1806;Saturday;12.00 04.04.1806 - 23.59 04.04.1806;;12°.35’;Pleasant Breezes and fine weather.; Winds East and E[.] by N.;" At 3 P.M. land was discovered from the Mast Head said to be the Islands of Aves."
;;00.00 05.04.1806 - 12.00 05.04.1806;;;;;""
6 April 1806;Sunday;12.00 05.04.1806 - 23.59 05.04.1806;;11°.41’;Fine Breezes and pleasant weather. ;Wind East.;"  "
;;00.00 06.04.1806 - 12.00 06.04.1806;;;;;"At 3 A.M. discovered land which bore W.S.W. and was supposed to be the Island of Buenaire [Bonaire]. At ½ past nine running down the land saw a schooner, and sent the Bacchus in chace [sic!]. At 10¼ she ran into a creek or Bay and the Bacchus returned."
7 April 1806;Monday;12.00 06.04.1806 - 23.59 06.04.1806;;11°.30’;Fine Breezes and pleasant Weather. ;Wind E.N.E.;" At 6 P.M. after having run down the coast for at least 60 Miles, we found ourselves completely land locked"
;;00.00 07.04.1806 - 12.00 07.04.1806;;;;;""
8 April 1806;Tuesday;12.00 07.04.1806 - 23.59 07.04.1806;;No observation;Fine pleasant Breezes and agreeable Weather. ;Winds E[.] by N[.] to N.N.E;" The whole of this day employed beating the Ship out of the Gulph [sic!].  "
;;00.00 08.04.1806 - 12.00 08.04.1806;;;;;"At 11 A.M. the North East Point bore about N.W. distance 5 Leagues."
